Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Priority;Status;Sprint;Custom field (Story Points);ë£ Original Estimate;ë£ Remaining Estimate;Labels;Labels;Labels;Created;Custom field (Epic Link)
Bug;Project_1-1278;12931;;Title task 50;Assignee2;Medium;To Do;Project_1 Sprint 14;3.0;;14400;SDK-7;;;;
Story;Project_1-718;11671;;Title task 51;Assignee11;Medium;To Do;Project_1 Sprint 7;13.0;61200;1800;;;;;Project_1-325
Story;Project_1-687;11629;;Title task 52;;Medium;To Do;Project_1 Sprint 12;21.0;82800;0;;;;;Project_1-731
Bug;Project_1-1922;14184;;Title task 53;Assignee1;Highest;Done;Project_1 Sprint 14;8.0;28800;0;Data;;;;
Sub-task;Project_1-1921;14180;13933;Title task 54;Assignee3;Medium;Done;Project_1 Sprint 14;;;0;;;;;
Bug;Project_1-1906;14145;;Title task 55;Assignee6;Medium;Done;Project_1 Sprint 14;;;0;SDK-8;;;;
Bug;Project_1-1895;14132;;Title task 56;Assignee2;Medium;Done;Project_1 Sprint 14;3.0;;0;SDK-4;;;;
Bug;Project_1-1894;14131;;Title task 57;Assignee1;Medium;Done;Project_1 Sprint 14;;7200;0;Network;;;;
Bug;Project_1-1892;14098;;Title task 58;Assignee7;Highest;Done;Project_1 Sprint 14;8.0;30600;0;SDK-10;;;;
Bug;Project_1-1891;14056;;Title task 59;Assignee1;Medium;Done;Project_1 Sprint 14;13.0;61200;0;Network;;;;
Bug;Project_1-1890;14055;;Title task 60;Assignee1;Medium;Done;Project_1 Sprint 14;3.0;3600;0;Network;;;;
Bug;Project_1-1889;14054;;Title task 61;Assignee1;Medium;Done;Project_1 Sprint 14;3.0;7200;0;Network;;;;
Sub-task;Project_1-1862;14020;13831;Title task 62;Assignee5;Medium;Done;Project_1 Sprint 14;;61200;0;;;;;
Sub-task;Project_1-1855;14013;13933;Title task 63;Assignee3;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
Sub-task;Project_1-1820;13974;13933;Title task 64;Assignee3;Medium;Done;Project_1 Sprint 14;;10800;0;;;;;
Sub-task;Project_1-1818;13972;13933;Title task 65;Assignee8;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
Sub-task;Project_1-1817;13971;13933;Title task 66;Assignee3;Medium;Done;Project_1 Sprint 14;;10800;0;;;;;
Sub-task;Project_1-1816;13970;13933;Title task 67;Assignee9;Medium;Done;Project_1 Sprint 14;;21600;0;;;;;
Sub-task;Project_1-1810;13960;13838;Title task 68;Assignee9;Medium;Done;Project_1 Sprint 14;;14400;0;;;;;
Sub-task;Project_1-1809;13959;13838;Title task 69;Assignee9;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
Sub-task;Project_1-1808;13958;13838;Title task 70;Assignee11;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
Sub-task;Project_1-1804;13954;13830;Title task 71;Assignee11;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
Sub-task;Project_1-1803;13953;13830;Title task 72;Assignee9;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
Sub-task;Project_1-1802;13952;13930;Title task 73;Assignee9;Medium;Done;Project_1 Sprint 14;;3600;0;;;;;
Sub-task;Project_1-1801;13951;13930;Title task 74;Assignee11;Medium;Done;Project_1 Sprint 14;;10800;0;;;;;
Sub-task;Project_1-1800;13950;13930;Title task 75;Assignee9;Medium;Done;Project_1 Sprint 14;;7200;0;;;;;
Sub-task;Project_1-1799;13949;13930;Title task 76;Assignee9;Medium;Done;Project_1 Sprint 14;;14400;0;;;;;
Story;Project_1-1789;13939;;Title task 77;Assignee2;Medium;Done;Project_1 Sprint 14;13.0;;0;;;;;
Story;Project_1-1787;13937;;Title task 78;Assignee8;Medium;Done;Project_1 Sprint 14;5.0;30600;0;;;;;
Bug;Project_1-1785;13935;;Title task 79;Assignee11;Medium;Done;Project_1 Sprint 14;3.0;10800;0;SDK-7;;;;
Story;Project_1-1781;13931;;Title task 80;Assignee8;Medium;Done;Project_1 Sprint 14;13.0;61200;0;;;;;Project_1-229
Story;Project_1-1780;13930;;Title task 81;Assignee9;Medium;Done;Project_1 Sprint 14;13.0;36000;0;;;;;Project_1-147
Story;Project_1-1777;13873;;Title task 82;Assignee12;Medium;Done;Project_1 Sprint 14;34.0;76500;0;;;;;
Story;Project_1-1773;13868;;Title task 83;Assignee2;Medium;Done;Project_1 Sprint 14;1.0;1800;0;;;;;
Story;Project_1-1772;13865;;Title task 84;;High;Done;Project_1 Sprint 14;;;;;;;;Project_1-147
Story;Project_1-1767;13857;;Title task 85;Assignee11;Medium;Done;Project_1 Sprint 14;5.0;14400;0;;;;;Project_1-147
Bug;Project_1-1765;13855;;Title task 86;Assignee6;Medium;Done;Project_1 Sprint 14;5.0;21600;0;SDK-9;;;;
Bug;Project_1-1762;13851;;Title task 87;Assignee9;Medium;Done;Project_1 Sprint 14;1.0;3600;0;Config;;;;
Bug;Project_1-1761;13850;;Title task 88;Assignee3;Medium;Done;Project_1 Sprint 14;3.0;7200;0;Config;;;;
Bug;Project_1-1760;13849;;Title task 89;Assignee9;Medium;Done;Project_1 Sprint 14;1.0;3600;0;Config;;;;
Bug;Project_1-1759;13848;;Title task 90;Assignee3;Medium;Done;Project_1 Sprint 14;5.0;14400;0;;;;;
Bug;Project_1-1755;13843;;Title task 91;Assignee2;Medium;Done;Project_1 Sprint 14;;;0;SDK-12;;;;
Bug;Project_1-1752;13840;;Title task 92;Assignee1;Highest;Done;Project_1 Sprint 14;21.0;91800;0;Device;;;;
Bug;Project_1-1739;13805;;Title task 93;Assignee11;Medium;Done;Project_1 Sprint 14;5.0;30600;0;SDK-7;;;;
Bug;Project_1-1724;13784;;Title task 94;Assignee11;Medium;Done;Project_1 Sprint 14;5.0;30600;0;Reporting;;;;
Bug;Project_1-1677;13672;;Title task 95;Assignee1;Medium;Done;Project_1 Sprint 14;5.0;14400;1800;Network;;;;
Bug;Project_1-1667;13627;;Title task 96;Assignee6;Medium;Done;Project_1 Sprint 14;8.0;30600;0;SDK-2;;;;
Bug;Project_1-1666;13626;;Title task 97;Assignee12;Medium;Done;Project_1 Sprint 14;;;;SDK-4;;;;
Bug;Project_1-1658;13617;;Title task 98;Assignee2;Medium;Done;Project_1 Sprint 14;5.0;;0;SDK-2;;;;
Bug;Project_1-1656;13615;;Title task 99;Assignee6;Medium;Done;Project_1 Sprint 14;5.0;18000;0;SDK-7;;;;
Bug;Project_1-1655;13614;;Title task 100;Assignee2;Medium;Done;Project_1 Sprint 14;1.0;300;0;SDK-7;;;;
Bug;Project_1-1652;13611;;Title task 101;Assignee2;Medium;Done;Project_1 Sprint 14;5.0;;0;SDK-7;;;;
Bug;Project_1-1651;13610;;Title task 102;Assignee2;Medium;Done;Project_1 Sprint 14;5.0;;0;SDK-7;;;;
Bug;Project_1-1647;13604;;Title task 103;Assignee11;Medium;Done;Project_1 Sprint 14;8.0;30600;0;Reporting;;;;
Bug;Project_1-1646;13603;;Title task 104;Assignee12;Medium;Done;Project_1 Sprint 14;;;;SDK-3;;;;
Bug;Project_1-1645;13602;;Title task 105;Assignee2;Medium;Done;Project_1 Sprint 14;21.0;91800;0;SDK-4;;;;
Sub-task;Project_1-1634;13591;13590;Title task 106;Assignee11;Medium;Done;Project_1 Sprint 13;;30600;0;;;;;
Task;Project_1-1628;13585;;Title task 107;acoullandreau;High;Done;Project_1 Sprint 14;1.0;15300;0;;;;;
Sub-task;Project_1-1617;13574;11629;Title task 108;Assignee11;Medium;Done;Project_1 Sprint 12;;30600;0;;;;;
Sub-task;Project_1-1616;13573;11629;Title task 109;Assignee11;Medium;Done;Project_1 Sprint 12;;30600;0;;;;;
Bug;Project_1-1596;13536;;Title task 110;Assignee12;Medium;Done;Project_1 Sprint 14;8.0;30600;0;SDK-3;;;;
Bug;Project_1-1595;13535;;Title task 111;Assignee2;Medium;Done;Project_1 Sprint 14;3.0;;0;SDK-1;;;;
Story;Project_1-1578;13505;;Title task 112;Assignee2;Medium;Done;Project_1 Sprint 14;5.0;;0;SDK-4;;;;
Bug;Project_1-1576;13503;;Title task 113;Assignee2;Medium;Done;Project_1 Sprint 14;5.0;14400;0;SDK-8;;;;
Bug;Project_1-1570;13497;;Title task 114;Assignee12;Medium;Done;Project_1 Sprint 14;3.0;10800;0;SDK-7;;;;
Bug;Project_1-1568;13495;;Title task 115;Assignee6;Medium;Done;Project_1 Sprint 14;5.0;18000;0;Device;;;;
Bug;Project_1-1565;13492;;Title task 116;Assignee6;Medium;Done;Project_1 Sprint 14;8.0;30600;0;SDK-2;;;;
Bug;Project_1-1564;13491;;Title task 117;Assignee12;Medium;Done;Project_1 Sprint 12;5.0;18000;0;SDK-4;;;;
Bug;Project_1-1549;13429;;Title task 118;Assignee1;Medium;Done;Project_1 Sprint 14;5.0;21600;0;Notification;;;;
Story;Project_1-1499;13343;;Title task 119;Assignee12;Medium;Done;Sprint 11;34.0;153000;0;;;;;
Bug;Project_1-1485;13285;;Title task 120;Assignee2;Medium;Done;Project_1 Sprint 14;5.0;;0;SDK-3;;;;
Bug;Project_1-1483;13283;;Title task 121;Assignee2;Medium;Done;Project_1 Sprint 14;3.0;;0;SDK-3;;;;
Bug;Project_1-1482;13282;;Title task 122;Assignee2;Medium;Done;Project_1 Sprint 14;3.0;;0;SDK-3;;;;
Bug;Project_1-1480;13280;;Title task 123;Assignee12;Medium;Done;Project_1 Sprint 14;;;;SDK-4;;;;
Bug;Project_1-1468;13263;;Title task 124;Assignee12;Medium;Done;Project_1 Sprint 14;;;;SDK-3;;;;
Bug;Project_1-1466;13261;;Title task 125;Assignee9;Medium;Done;Project_1 Sprint 14;5.0;18000;0;SDK-7;;;;
Task;Project_1-1458;13232;;Title task 126;Assignee11;Medium;Done;Project_1 Sprint 13;5.0;91800;0;;;;;SLNNZ2-1
Story;Project_1-1442;13196;;Title task 127;Assignee2;Low;Done;Project_1 Sprint 14;1.0;;0;SDK-3;;;;
Bug;Project_1-1370;13102;;Title task 128;Assignee2;Medium;Done;Project_1 Sprint 14;2.0;;0;SDK-4;;;;
Bug;Project_1-1338;13060;;Title task 129;Assignee1;Medium;Done;Project_1 Sprint 14;3.0;14400;0;Notification;;;;
Bug;Project_1-1329;13051;;Title task 130;Assignee7;Medium;Done;Project_1 Sprint 14;3.0;3600;0;SDK-5;;;;
Bug;Project_1-1328;13050;;Title task 131;Assignee7;Medium;Done;Project_1 Sprint 14;3.0;7200;0;SDK-5;;;;
Bug;Project_1-1327;13049;;Title task 132;Assignee2;Medium;Done;Project_1 Sprint 14;3.0;;0;SDK-6;;;;
Sub-task;Project_1-1313;13010;11629;Title task 133;Assignee6;Low;Done;Project_1 Sprint 12;;21600;0;;;;;
Story;Project_1-1304;13001;;Title task 134;Assignee6;Low;Done;Project_1 Sprint 14;5.0;18000;0;;;;;Project_1-731
Bug;Project_1-1297;12955;;Title task 135;Assignee1;Medium;Done;Project_1 Sprint 14;13.0;61200;0;Network;;;;
Bug;Project_1-1294;12952;;Title task 136;Assignee2;Medium;Done;Project_1 Sprint 14;5.0;;0;SDK-2;;;;
Task;Project_1-1201;12801;;Title task 137;Assignee4;Medium;Done;Sprint 9 ;21.0;214200;0;;;;;Project_1-326
Story;Project_1-1144;12653;;Title task 138;Assignee9;Low;Done;Project_1 Sprint 14;5.0;14400;0;;;;;Project_1-681
Task;Project_1-1111;12547;;Title task 139;Assignee9;Medium;Done;Project_1 Sprint 14;13.0;32400;0;Config;;;;
Story;Project_1-992;12241;;Title task 140;Assignee11;Medium;Done;Project_1 Sprint 14;5.0;15300;0;;;;;Project_1-731
Story;Project_1-690;11632;;Title task 141;Assignee2;Medium;Done;Project_1 Sprint 14;;;;;;;;Project_1-516
